Porosity_1,Permeability_1.1,Permeability_2.1,Permeability_3.1,Porosity_2,Permeability_1.2,Permeability_2.2,Permeability_3.2,Porosity_3,Permeability_1.3,Permeability_2.3,Permeability_3.3,Porosity_4,Permeability_1.4,Permeability_2.4,Permeability_3.4,Porosity_5,Permeability_1.5,Permeability_2.5,Permeability_3.5,Error
2.495783e-01,1.530361e-15,1.427001e-15,1.990401e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.099905e-01,2.769160e-12,1.068095e-12,1.164565e-12,2.367463e-01,2.950011e-12,1.599119e-12,2.113548e-12,1.430790e-01,1.955547e-15,1.008855e-15,1.248079e-15,1.994305e+02
2.634109e-01,1.622452e-15,1.377089e-15,1.493907e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.150881e-01,2.267841e-12,2.180119e-12,2.969201e-12,2.825928e-01,1.308726e-12,1.251397e-12,1.082073e-12,2.937008e-01,2.018394e-15,1.456164e-15,2.171544e-15,8.933764e+01
2.674717e-01,1.684415e-15,2.400699e-15,1.078198e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.895018e-01,1.161399e-12,1.714958e-12,1.357527e-12,2.152758e-01,1.564805e-12,1.477231e-12,1.305601e-12,1.788743e-01,2.934713e-15,2.270692e-15,2.612832e-15,6.881354e+01
1.982121e-01,2.984962e-15,1.763541e-15,2.172138e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.442522e-01,1.443105e-12,2.269990e-12,1.675816e-12,1.583599e-01,1.251560e-12,2.024460e-12,1.479044e-12,1.642524e-01,1.378069e-15,1.662805e-15,1.440442e-15,6.689742e+01
2.433283e-01,1.426672e-15,2.816429e-15,1.569178e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.864667e-01,1.094446e-12,2.399595e-12,1.074582e-12,1.401230e-01,2.246803e-12,1.328597e-12,2.302752e-12,1.199259e-01,1.292147e-15,2.512006e-15,1.670332e-15,8.343760e+01
1.194854e-01,1.348529e-15,2.269895e-15,2.148071e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.691224e-01,2.505932e-12,1.181684e-12,1.131979e-12,2.708385e-01,2.828434e-12,1.622517e-12,1.673676e-12,2.974660e-01,1.455453e-15,1.593863e-15,2.162727e-15,2.020844e+02
2.083852e-01,2.176953e-15,2.020188e-15,1.089316e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.183535e-01,1.251936e-12,2.306310e-12,2.749982e-12,1.348933e-01,2.623046e-12,2.992018e-12,1.641710e-12,2.410584e-01,1.151612e-15,2.749784e-15,1.960891e-15,1.268667e+02
2.584863e-01,2.592563e-15,1.998021e-15,2.682546e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.560017e-01,1.644747e-12,2.576820e-12,1.082390e-12,2.581656e-01,2.482120e-12,2.054503e-12,1.200605e-12,2.332519e-01,2.828716e-15,1.565498e-15,2.178050e-15,1.562690e+02
2.027563e-01,1.292400e-15,1.557878e-15,1.351428e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.716411e-01,1.590149e-12,1.695061e-12,2.861746e-12,2.762130e-01,1.509708e-12,1.687711e-12,2.389824e-12,2.291064e-01,1.731950e-15,1.104848e-15,1.427290e-15,9.310382e+01
2.965909e-01,2.340966e-15,2.037109e-15,1.032204e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.668539e-01,2.305551e-12,1.271333e-12,2.404158e-12,2.275511e-01,1.868429e-12,1.947813e-12,1.314889e-12,2.864710e-01,2.401524e-15,1.196759e-15,1.139717e-15,1.452956e+02
2.391989e-01,1.666017e-15,1.720382e-15,1.951930e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.747823e-01,2.157818e-12,2.398980e-12,1.172792e-12,2.572919e-01,2.760202e-12,1.172156e-12,2.091861e-12,2.009375e-01,1.659498e-15,1.038213e-15,1.165946e-15,1.748698e+02
2.893036e-01,2.274116e-15,2.702658e-15,1.224732e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.023859e-01,1.019722e-12,1.223531e-12,2.306456e-12,2.806306e-01,1.651624e-12,1.883713e-12,1.930045e-12,1.942521e-01,1.509622e-15,1.104328e-15,1.434988e-15,6.388578e+01
2.187960e-01,1.106210e-15,1.728585e-15,2.462068e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.749577e-01,2.856829e-12,1.464300e-12,2.500560e-12,1.598861e-01,2.618356e-12,2.786990e-12,2.403266e-12,1.442008e-01,1.880889e-15,1.850229e-15,2.945528e-15,2.070715e+02
1.584698e-01,1.467352e-15,1.963577e-15,1.318713e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.061458e-01,2.047009e-12,1.958163e-12,1.883310e-12,1.567396e-01,2.474433e-12,2.759393e-12,2.718240e-12,1.929980e-01,1.521560e-15,2.210427e-15,2.210734e-15,1.658992e+02
1.988146e-01,1.263325e-15,1.467356e-15,1.163639e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,1.935645e-01,1.902896e-12,1.519447e-12,2.730681e-12,1.357653e-01,2.242871e-12,2.107189e-12,2.088465e-12,2.649798e-01,2.556165e-15,2.730714e-15,1.914349e-15,1.513186e+02
1.996044e-01,1.955586e-15,2.083663e-15,1.978670e-15,2.000000e-01,1.000000e-12,1.000000e-12,1.000000e-125,2.237960e-01,1.508957e-12,1.287459e-12,2.177476e-12,2.807549e-01,1.013415e-12,1.364578e-12,2.739550e-12,1.912419e-01,1.017137e-15,1.791515e-15,1.557847e-15,3.314821e+01
